timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0,0.7281,-8.2772,-4.7134,-8.4174,0.8348,5.5652
5,0.6898,-8.1239,-4.79,-9.0435,0.7652,6.1217
10,0.6131,-8.0856,-4.905,-9.7391,0.9043,6.7478
15,0.958,-8.1622,-4.9816,-10.5739,1.3913,7.2348
20,1.073,-8.2389,-4.79,-11.4783,2.4348,7.5826
25,1.2263,-8.2772,-4.9433,-12.5913,3.6174,7.6522
30,1.4562,-8.5454,-4.9433,-13.8435,5.2174,7.5826
35,1.4945,-8.6221,-4.8284,-15.2348,6.7478,7.2348
40,1.3795,-8.7754,-4.9433,-16.9043,8.0,6.7478
45,1.3029,-8.9286,-4.8667,-18.6435,8.9043,6.1913
50,1.1879,-8.852,-4.9433,-20.313,9.3913,5.6348
55,1.073,-8.967,-4.905,-21.6348,9.6,5.1478
60,0.7664,-9.0053,-5.02,-22.3304,9.7391,4.8696
65,0.7281,-9.0819,-5.0583,-22.6087,10.0174,4.6609
70,0.6514,-9.1969,-5.02,-22.1913,10.4348,4.4522
75,0.4598,-9.1969,-5.0966,-21.4957,10.9913,4.313
80,0.3449,-9.1586,-5.1732,-20.7304,11.2696,4.2435
85,0.3066,-9.2352,-5.1732,-19.687,11.2,4.1739
90,0.3066,-9.1202,-5.2882,-18.8522,10.6435,4.313
95,0.3449,-9.1202,-5.1349,-17.8783,9.9478,4.3826
100,0.3832,-9.0053,-5.2116,-16.9739,8.9043,4.5217
105,0.4598,-9.0436,-5.2882,-16.2783,7.7913,4.4522
110,0.6131,-9.0436,-5.3265,-15.7913,6.8174,4.313
115,0.6898,-9.0819,-5.4032,-15.3043,6.0522,4.2435
120,0.9197,-8.8903,-5.3265,-15.0957,5.6348,4.1739
125,1.1496,-8.9286,-5.2499,-14.9565,5.5652,3.9652
130,1.1879,-8.967,-5.3265,-15.0261,5.8435,3.8957
135,1.3795,-9.0053,-5.2499,-15.0261,6.3304,3.8261
140,1.4945,-9.0819,-5.4798,-15.3043,7.0957,3.5478
145,1.4179,-9.1202,-5.4798,-15.513,8.0696,3.5478
150,1.4945,-9.1586,-5.4415,-15.8609,9.3913,3.3391
155,1.6478,-9.1586,-5.4415,-16.1391,10.9217,3.1304
160,1.6861,-9.2735,-5.5564,-16.487,12.6609,2.9217
165,1.9543,-9.4268,-5.4415,-16.8348,14.8174,2.9217
170,1.8394,-9.4268,-5.5948,-17.113,16.6957,2.9217
175,1.8777,-9.3502,-5.6331,-17.5304,19.1304,2.9217
180,1.8777,-9.3885,-5.5564,-18.087,21.7739,2.9217
185,1.8777,-9.5034,-5.7097,-18.6435,24.2783,2.9217
190,1.8777,-9.5418,-5.6714,-19.5478,26.2957,2.7826
195,1.6095,-9.6184,-5.6714,-20.5913,27.9652,2.713
200,1.6095,-9.5801,-5.7097,-21.7043,29.6348,2.5739
205,1.5328,-9.7717,-5.863,-23.0957,30.8174,2.5739
210,1.4945,-9.81,-5.7864,-24.2783,32.0,2.5043
215,1.4179,-9.8483,-5.748,-25.2522,32.9043,2.5043
220,1.3029,-9.7334,-5.863,-25.8783,33.8087,2.6435
225,1.1879,-9.7717,-5.978,-26.1565,34.5043,2.8522
230,1.073,-9.7717,-6.0546,-26.3652,34.9217,3.0609
235,1.0346,-9.8866,-6.1313,-26.2957,35.1304,3.5478
240,1.0346,-9.9633,-6.2845,-26.1565,35.0609,4.0348
245,1.073,-9.8483,-6.3995,-26.2957,34.8522,4.4522
250,1.1879,-9.925,-6.6294,-26.6435,34.2957,5.0783
255,1.1879,-10.0016,-6.821,-27.687,33.8087,5.5652
260,1.2646,-9.9633,-7.0893,-29.1478,33.3913,6.1217
265,1.1879,-9.9633,-7.0509,-30.5391,33.3217,6.8174
270,1.3029,-10.0016,-7.2809,-31.7217,33.5304,7.6522
275,1.3029,-10.1166,-7.4341,-32.6957,33.8783,8.487
280,1.1113,-10.0399,-7.5108,-33.6,34.2957,9.113
285,1.1113,-10.0399,-7.4341,-34.2957,34.2957,9.3913
290,0.9963,-10.0782,-7.4341,-34.7826,33.9478,9.6696
295,1.1113,-9.8866,-7.5491,-34.7826,33.3217,10.0174
300,1.1496,-9.695,-7.3958,-34.087,32.487,10.087
305,1.1879,-9.6567,-7.3192,-33.1826,31.6522,10.1565
310,1.1879,-9.5801,-7.0893,-32.3478,30.7478,10.087
315,1.073,-9.5034,-6.9743,-31.5826,29.7739,10.0174
320,1.0346,-9.3118,-7.0509,-30.6087,28.3826,10.1565
325,0.7281,-9.1969,-6.9743,-29.7739,26.4348,10.2261
330,0.7281,-9.2352,-7.1276,-29.1478,24.0,10.5739
335,0.6131,-8.8903,-7.0126,-28.7304,21.3565,11.1304
340,0.4215,-8.737,-7.1659,-28.1043,18.7826,12.313
345,0.3449,-8.5071,-7.1276,-27.5478,16.487,13.7043
350,0.3449,-8.3155,-7.2042,-26.5739,14.4696,15.4435
355,0.115,-8.2389,-7.1659,-25.4609,12.8,17.2522
360,0.0383,-7.9323,-7.0509,-24.2783,11.7565,19.2
365,-0.0383,-7.779,-7.0509,-23.3739,11.2696,21.2174
370,0.0,-7.5874,-7.0126,-22.4,10.8522,23.1652
375,-0.115,-7.4725,-6.821,-21.7043,10.713,24.6957
380,-0.115,-7.2042,-6.936,-21.3565,10.8522,26.0174
385,-0.1533,-7.0509,-6.936,-20.9391,10.8522,26.9217
390,-0.0766,-7.0126,-7.0126,-20.2435,10.8522,27.7565
395,0.0,-6.8593,-6.7827,-19.5478,10.713,28.5217
400,0.0766,-6.6294,-6.5528,-18.5043,10.5739,29.287
405,0.0383,-6.7827,-6.5528,-17.4609,10.4348,29.7739
410,0.0766,-6.6677,-6.5528,-16.3478,10.713,30.1217
415,0.2299,-6.5911,-6.6294,-15.3043,11.4783,30.4696
420,0.3832,-6.6294,-6.3995,-14.1913,12.6609,30.8174
425,0.3066,-6.6677,-6.5145,-13.0783,14.2609,30.9565
430,0.4598,-6.5911,-6.3612,-12.0348,16.1391,31.0957
435,0.4215,-6.5528,-6.3229,-10.9913,17.8783,31.1652
440,0.5748,-6.6294,-6.2845,-9.8783,19.8957,31.513
445,0.4982,-6.5528,-6.3612,-8.9739,21.7739,31.7913
450,0.5365,-6.7061,-6.3612,-8.1391,23.513,32.0696
455,0.5748,-6.7827,-6.5145,-7.4435,24.9043,32.4174
460,0.4598,-6.6294,-6.3995,-6.6087,26.087,33.0435
465,0.5748,-6.7444,-6.2462,-5.8435,27.1304,33.5304
470,0.5365,-6.8593,-6.3995,-4.8,27.7565,34.0174
475,0.4215,-6.8593,-6.3612,-3.687,27.9652,34.5043
480,0.5365,-6.936,-6.4378,-2.3652,27.687,34.9217
485,0.4982,-6.8593,-6.5145,-1.1826,26.9913,35.2696
490,0.3832,-6.821,-6.3995,0.0,26.0174,35.4783
495,0.2682,-6.7061,-6.3995,1.3913,24.6261,35.8957
500,0.3832,-6.821,-6.4761,2.5739,23.3739,36.2435
505,0.4215,-6.8593,-6.5528,3.5478,22.1217,36.5217
510,0.1533,-6.8593,-6.4761,4.313,21.1478,36.9391
515,0.1916,-6.7827,-6.5528,4.7304,20.6609,37.4261
520,0.0766,-6.8977,-6.5528,5.0783,20.5217,38.0522
525,0.0,-6.936,-6.4761,5.3565,21.0087,38.8174
530,-0.0383,-7.0126,-6.3995,5.3565,21.7739,39.6522
535,-0.0383,-7.0509,-6.3612,5.4261,22.8174,40.6957
540,-0.1533,-7.0509,-6.2845,5.6348,24.1391,41.7391
545,-0.2682,-7.0893,-6.1696,5.6348,25.5304,42.9217
550,-0.1916,-7.0893,-6.0929,5.6348,27.2,44.1739
555,-0.3832,-7.0893,-6.0929,5.6348,28.7304,45.4261
560,-0.3832,-7.3958,-6.3612,5.8435,30.2609,46.887
565,-0.2299,-7.1659,-6.0929,6.0522,31.7913,48.2087
570,-0.1533,-7.1276,-5.748,6.4,32.8348,49.6696
575,-0.1916,-7.2425,-5.978,6.8174,34.2261,51.2
580,-0.0383,-7.2042,-5.9396,7.0957,35.4087,52.1043
585,0.0,-7.2425,-5.978,7.3739,36.3826,53.3565
590,0.0,-7.3192,-5.9013,7.7913,37.4261,54.4696
595,0.0383,-7.3192,-5.8247,8.2087,38.2609,55.513
600,0.2299,-7.3192,-6.0929,8.6957,39.0261,56.3478
605,0.115,-7.1659,-6.0546,9.113,39.9304,57.0435
610,0.1916,-7.2809,-6.0546,9.5304,40.7652,57.4609
615,0.843,-7.3958,-6.1313,9.8783,41.6,57.7391
620,0.3449,-7.1659,-6.2079,10.2261,42.713,57.8087
625,0.3449,-7.4341,-6.1696,10.6435,43.8261,57.8783
630,0.4982,-7.3192,-6.2079,11.1304,44.8696,57.8087
635,0.3832,-7.2425,-6.3229,11.687,46.1913,57.7391
640,0.5365,-7.3575,-6.2462,12.2435,47.6522,57.3217
645,0.4215,-7.2809,-6.3229,13.0783,49.2522,56.9739
650,0.4982,-7.2809,-6.3612,13.8435,50.9913,56.7652
655,0.4598,-7.2042,-6.1696,14.5391,52.8,56.6957
660,0.5748,-7.2809,-6.2845,15.513,54.4696,56.6957
665,0.4982,-7.3575,-6.2079,16.4174,56.0696,56.8348
670,0.4982,-7.2425,-6.0929,17.3217,57.5304,56.9739
675,0.4982,-7.2425,-6.0929,18.0174,58.9217,57.3217
680,0.4598,-7.1659,-6.0163,18.6435,60.313,57.6
685,0.3066,-7.0893,-5.978,19.0609,61.4261,58.2261
690,0.3832,-7.0893,-5.978,19.2696,62.6087,58.9913
695,0.2682,-7.0509,-6.0163,19.1304,63.6522,59.7565
700,0.2682,-7.0893,-5.8247,18.5739,64.8348,60.5913
705,0.1533,-7.0509,-5.978,18.0174,65.9478,61.3565
710,0.2299,-7.0893,-5.8247,17.4609,67.0609,62.3304
715,0.115,-7.0893,-5.9396,16.9043,68.1043,63.1652
