timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0,-9.2352,-2.2609,1.6478,0.9043,37.1478,14.3304
5,-9.3502,-2.0693,1.6861,1.0435,33.6,15.1652
10,-9.4268,-1.9927,1.5711,0.6261,30.1217,15.1652
15,-9.4651,-1.8394,1.5711,-0.2783,26.9217,14.0522
20,-9.6567,-1.8011,1.8011,-1.6696,24.0696,12.4522
25,-9.6184,-1.6095,1.6478,-2.3652,22.0522,10.5043
30,-9.695,-1.5328,1.7244,-2.9217,21.8435,8.6957
35,-9.7717,-1.5328,1.6478,-3.0609,23.0957,6.6087
40,-9.8483,-1.5711,1.6095,-2.087,25.3217,5.2174
45,-9.9633,-1.5711,1.5328,-0.6261,27.6174,3.8957
50,-10.0782,-1.6861,1.3412,0.8348,29.8435,2.8522
55,-10.0399,-1.7627,1.1496,1.9478,31.6522,1.6696
60,-10.0399,-1.8777,1.2646,2.4348,32.8348,0.6261
65,-10.0782,-1.8777,0.8047,2.6435,33.8087,-0.6957
70,-10.0399,-2.031,1.073,3.2696,34.5739,-1.6696
75,-10.0782,-1.9927,0.7664,4.1043,34.8522,-2.5043
80,-9.925,-1.916,0.8814,5.1478,34.9913,-2.5739
85,-9.7717,-2.031,1.0346,5.6348,34.8522,-2.2957
90,-9.81,-1.9543,1.2263,6.6783,34.8522,-2.0174
95,-9.7334,-1.9927,1.0346,7.3739,34.5043,-1.8087
100,-9.6567,-2.0693,1.1113,7.4435,34.087,-1.4609
105,-9.6567,-1.8777,1.1879,7.0957,33.5304,-1.0435
110,-9.7717,-1.6478,1.0346,6.5391,32.3478,-0.8348
115,-9.7717,-1.4179,0.843,5.4957,31.3739,-0.7652
120,-9.925,-1.1496,0.6514,4.1739,29.9826,-0.5565
125,-10.1166,-0.9963,0.5365,2.5043,28.6609,-0.487
130,-10.2698,-0.8814,0.4598,0.487,27.7565,0.0
135,-10.3848,-0.4598,0.4982,-2.1565,27.0609,0.7652
140,-10.5381,-0.3066,0.3066,-4.3826,27.0609,2.2261
145,-10.5381,-0.3832,0.2682,-6.6087,27.2696,3.8957
150,-10.4614,-0.2299,0.3066,-8.4174,27.687,5.9826
155,-10.3082,-0.3832,0.3449,-9.8087,28.1739,8.2087
160,-10.2698,-0.4598,0.3066,-11.1304,28.5913,10.4348
165,-10.1549,-0.4982,0.3066,-12.3826,28.6609,11.7565
170,-10.0399,-0.6898,0.3832,-13.7739,27.7565,12.4522
175,-10.0016,-0.8047,0.7281,-15.1652,25.7391,12.313
180,-10.0016,-0.958,0.843,-16.6261,22.4696,11.687
185,-10.0782,-1.1113,1.073,-17.6696,19.2696,10.9217
190,-10.1932,-1.1113,0.9963,-18.087,16.0,10.2261
195,-10.1166,-1.2646,0.7281,-18.087,12.9391,9.4609
200,-10.1549,-1.2263,0.7281,-18.0174,11.1304,8.9043
205,-10.0782,-0.9963,0.6898,-18.2957,10.2957,8.4174
210,-9.8866,-1.1496,0.6514,-18.713,9.6,8.0
215,-9.5418,-1.1496,0.5748,-19.3391,8.9739,7.3043
220,-9.5034,-0.958,0.5748,-19.8261,8.487,6.3304
225,-9.4268,-0.9963,0.7281,-19.8957,7.7217,5.2174
230,-9.5801,-1.0346,0.6131,-19.4783,6.7478,4.4522
235,-9.6567,-1.1496,0.5365,-18.5043,5.9826,3.8957
240,-9.6567,-1.2646,0.4982,-17.3217,5.1478,3.2696
245,-9.6184,-1.3029,0.3449,-15.8609,4.8696,2.9217
250,-9.7717,-1.4945,0.1916,-14.1913,5.0087,2.4348
255,-9.8483,-1.4945,0.1916,-12.6609,5.1478,2.0174
260,-9.9633,-1.5711,0.3066,-11.5478,5.6348,1.7391
265,-10.0399,-1.5711,0.1916,-10.5739,5.8435,1.7391
270,-10.1166,-1.6095,0.3066,-9.8783,6.1217,1.6696
275,-10.2315,-1.6861,0.2682,-9.0435,6.0522,1.9478
280,-10.1932,-1.8394,0.1533,-8.1391,5.7739,2.1565
285,-10.3082,-1.7244,0.1533,-7.1652,5.6348,2.6435
290,-10.3082,-1.6861,-0.0383,-6.4696,5.6348,2.9913
295,-10.3082,-1.6861,0.0383,-6.0522,5.7043,3.5478
300,-10.1166,-1.5711,0.0766,-5.7739,5.5652,3.8957
305,-10.2315,-1.4945,0.1533,-5.8435,5.4957,4.1739
310,-10.0782,-1.4945,0.2299,-5.9826,5.4261,4.3826
315,-9.9633,-1.3795,0.2682,-6.1217,5.287,4.313
320,-9.9633,-1.2263,0.4215,-6.0522,5.5652,4.3826
325,-9.925,-1.1879,0.4982,-5.8435,5.9826,4.313
330,-9.8483,-1.1879,0.4982,-5.7043,6.2609,4.1739
335,-9.7334,-1.2646,0.4598,-5.287,6.4696,3.7565
340,-9.695,-1.3412,0.6131,-4.5217,6.8174,3.2
345,-9.6567,-1.4179,0.7281,-3.4783,7.3043,2.8522
350,-9.7334,-1.4945,0.6514,-2.1565,7.4435,2.2261
