timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0,-0.8047,-8.1239,-1.8394,-23.0957,41.6696,9.0435
5,-1.1496,-8.6987,-2.031,-23.0957,38.8174,7.7217
10,-1.0346,-8.6987,-1.7244,-22.0522,35.8261,6.4696
15,-1.1879,-9.1202,-1.4945,-19.6174,32.6957,4.8
20,-1.1879,-9.4268,-1.1496,-16.2087,29.7739,3.1304
25,-1.4562,-9.4651,-1.0346,-12.1739,26.7826,1.4609
30,-1.2263,-9.6184,-1.073,-7.9304,24.2087,-0.4174
35,-1.3029,-9.6184,-0.8047,-4.313,21.9826,-2.2957
40,-1.1113,-9.5801,-0.843,-1.5304,20.5217,-4.1739
45,-0.8814,-9.5034,-0.7281,0.8348,19.4783,-6.0522
50,-0.6514,-9.3885,-1.073,2.7826,18.9217,-7.7217
55,-0.3066,-9.3118,-1.073,4.4522,18.5043,-9.4609
60,-0.3832,-9.1202,-1.2263,6.0522,18.5043,-10.8522
65,0.115,-9.1586,-1.1496,7.5826,18.4348,-12.1043
70,0.115,-9.2735,-1.4179,9.113,18.8522,-13.0783
75,0.6514,-9.2352,-1.4179,10.5043,19.5478,-13.7043
80,0.6898,-9.3502,-1.5328,11.8261,20.2435,-14.2609
85,0.7281,-9.3885,-1.6478,12.6609,20.1043,-14.4
90,1.1496,-9.4651,-1.8011,12.6609,18.2261,-14.4696
95,0.958,-9.5418,-2.1459,12.4522,14.4,-14.6087
100,0.7281,-9.4268,-2.5291,11.9652,9.0435,-14.0522
105,0.4598,-9.5801,-2.874,11.0609,3.6174,-13.1478
110,0.0766,-9.3502,-2.6441,10.5043,-0.9043,-11.8957
115,-0.1533,-10.0399,-2.5675,10.5739,-3.8957,-10.2957
120,-0.4598,-10.3848,-2.031,11.4087,-4.8696,-8.6957
125,-0.4598,-10.9979,-1.4179,12.9391,-3.6174,-7.513
130,-0.2682,-11.4961,-0.7281,14.9565,-0.3478,-6.887
135,0.0383,-11.7643,-0.115,17.8783,4.0348,-6.6783
140,0.0383,-12.0709,0.0766,21.1478,8.7652,-6.9565
145,0.6131,-12.3391,0.0383,24.8348,12.8696,-7.3043
150,0.6131,-12.4541,0.0383,28.5913,16.2783,-7.5826
155,1.073,-12.5307,-0.4598,31.1652,18.4348,-7.7913
160,1.5711,-12.4158,-1.1113,31.9304,19.687,-7.513
165,1.9927,-12.3391,-1.5711,29.913,20.0348,-6.8174
170,2.4525,-12.3775,-3.2955,24.2783,19.687,-5.9826
175,2.7974,-12.2625,-5.0583,14.7478,18.4348,-4.5217
180,2.9507,-12.2625,-6.821,1.6,16.1391,-3.0609
185,2.9507,-12.3391,-8.5071,-12.6609,12.4522,-1.0435
190,2.6441,-12.4158,-9.7334,-24.9739,6.1913,1.0435
195,1.8394,-12.684,-10.5381,-32.7652,-1.6696,3.687
200,0.7281,-12.9906,-10.7297,-35.0609,-8.3478,7.4435
205,-1.1879,-13.2588,-9.925,-31.1652,-11.7565,12.7304
210,-2.6824,-13.2588,-8.8137,-20.4522,-13.4957,18.8522
215,-2.989,-12.6457,-8.4688,-4.6609,-14.6783,24.1391
220,-2.7207,-11.9559,-8.852,11.4783,-13.7043,28.2435
225,-2.874,-10.5764,-9.0819,23.1652,-8.9739,30.7478
230,-2.3759,-9.0819,-8.967,28.6609,-0.6261,31.7217
235,-2.2226,-7.4725,-8.6604,30.1217,11.2,31.2348
240,-1.916,-6.5911,-8.4688,28.313,23.7913,30.2609
245,-1.1113,-5.5948,-8.2772,23.9304,34.5043,29.3565
250,0.3449,-4.9816,-8.1239,17.4609,42.9913,28.7304
255,1.9543,-5.0583,-8.3155,8.9739,48.9739,27.4087
260,2.7207,-5.02,-8.4688,-0.6261,52.1043,24.9739
265,3.0656,-5.2116,-8.3155,-10.087,51.8957,22.1217
270,3.2572,-5.5948,-7.9323,-18.3652,48.3478,18.8522
275,2.9507,-6.5528,-7.2809,-25.6696,42.4348,15.7217
280,2.4908,-7.4341,-6.6677,-32.3478,35.1304,12.8
285,1.8777,-8.6221,-6.0929,-38.1913,27.8261,10.4348
290,1.5711,-9.6567,-5.4032,-42.7826,21.4261,8.2087
295,0.958,-10.7297,-5.0583,-45.287,15.7217,6.3304
300,0.4215,-11.3428,-5.02,-45.7043,10.3652,4.9391
305,-0.0383,-11.726,-5.6331,-44.6609,6.1913,3.7565
310,-0.4215,-11.6494,-5.9013,-42.6435,4.313,3.0609
315,-0.7281,-11.6494,-6.1696,-39.4435,4.3826,1.9478
320,-0.8047,-11.5727,-6.0929,-34.1565,6.1913,0.4174
325,-0.958,-10.8446,-5.9013,-25.7391,8.7652,-1.7391
330,-0.958,-10.9596,-5.0583,-15.5826,10.9217,-4.9391
335,-0.958,-10.653,-4.1386,-5.4957,12.5913,-8.9739
340,-0.7281,-10.1166,-3.8704,2.5043,13.7739,-13.1478
345,-0.7281,-9.6567,-3.2955,7.3043,14.887,-17.113
350,-0.4598,-8.9286,-2.7974,8.8348,15.513,-20.6609
355,-0.1916,-8.3538,-2.5675,8.2087,15.7217,-23.9304
360,0.0766,-7.5491,-2.3759,6.8174,15.3739,-26.2261
365,0.3832,-6.9743,-2.2992,5.1478,14.6783,-27.4087
370,0.5365,-6.6677,-2.4908,3.1304,13.6348,-27.9652
375,0.8047,-6.1696,-2.6824,0.487,12.5217,-28.0348
380,1.1879,-6.0163,-2.8357,-2.4348,11.5478,-27.5478
385,1.1496,-5.6714,-2.8357,-5.913,10.713,-26.713
390,1.1879,-5.3648,-2.874,-9.7391,10.087,-25.4609
395,1.2263,-5.4415,-2.9123,-13.7739,8.9739,-24.0
400,1.2263,-5.2882,-2.7974,-17.8783,7.6522,-21.9826
405,1.1496,-5.5564,-2.6441,-21.4957,6.0522,-19.5478
410,1.1496,-5.6714,-2.5675,-24.6261,4.1739,-16.6957
415,1.3029,-5.7864,-2.4142,-27.4783,2.5739,-13.8435
420,0.9197,-5.863,-2.4525,-29.7043,1.0435,-11.3391
425,0.9197,-6.3612,-2.3375,-31.5826,-0.5565,-9.2522
430,1.073,-6.4378,-2.2992,-33.2522,-2.0174,-8.3478
435,0.8814,-6.6677,-2.3759,-34.087,-3.4087,-7.7217
440,0.9197,-6.7061,-2.2992,-34.5043,-4.8,-7.6522
445,0.843,-6.8593,-2.2992,-33.7391,-6.4696,-8.1391
450,0.4598,-7.0893,-2.3375,-31.8609,-8.0696,-9.113
455,0.4215,-7.1659,-2.4525,-29.9826,-11.3391,-12.2435
460,0.4982,-7.0893,-2.4525,-27.8957,-12.1739,-13.4957
465,0.1533,-7.2042,-2.7207,-24.6261,-12.4522,-12.8
470,0.115,-7.2809,-2.7591,-21.287,-13.4957,-12.9391
475,-0.0383,-7.3192,-2.9123,-18.6435,-14.8174,-13.4957
480,-0.0766,-7.3575,-2.9123,-17.2522,-15.513,-14.0522
485,-0.4215,-7.4341,-2.9507,-16.2087,-16.0,-14.4
490,-0.5365,-7.8173,-2.874,-15.3739,-16.6261,-14.4
495,-0.6514,-7.779,-2.874,-15.2348,-17.1826,-14.8174
500,-0.6898,-7.894,-2.9507,-15.9304,-17.4609,-14.8174
505,-0.6514,-8.2005,-2.9507,-16.9739,-17.1826,-14.4696
510,-0.3832,-8.1622,-2.989,-18.087,-17.0435,-14.1217
515,-0.0766,-8.1239,-3.1039,-19.687,-16.5565,-14.0522
520,0.1533,-8.1239,-3.2955,-21.7043,-16.2783,-14.6783
525,1.0346,-8.5454,-3.2955,-23.3739,-16.7652,-16.9043
530,1.6478,-7.8173,-3.5638,-25.5304,-17.9478,-21.0087
535,2.1459,-7.6641,-3.832,-26.4348,-17.2522,-19.9652
540,2.3759,-7.7024,-3.6787,-26.5739,-17.2522,-19.2
545,2.8357,-8.0856,-3.6404,-26.087,-17.8783,-19.8957
550,3.3722,-8.0856,-4.0236,-25.1826,-18.8522,-21.3565
555,3.6021,-8.2772,-4.2919,-24.5565,-20.0348,-22.6087
560,3.6021,-8.6987,-3.947,-23.7217,-21.4261,-23.5826
565,3.4488,-9.1586,-4.2152,-22.887,-22.887,-24.487
570,3.2572,-9.3885,-4.062,-21.7739,-24.0696,-25.4609
575,2.9123,-9.8866,-3.8704,-20.5913,-24.6957,-26.087
580,2.7207,-10.3082,-3.7937,-19.4783,-24.6261,-26.5739
585,2.5291,-10.9213,-3.7554,-17.8087,-24.2087,-27.2696
590,2.0693,-11.1512,-3.7171,-16.0696,-23.513,-28.4522
595,1.9927,-11.6111,-4.1003,-14.3304,-22.9565,-29.8435
600,1.5711,-11.6877,-3.947,-13.0087,-22.3304,-31.0261
605,1.3029,-11.841,-4.3302,-11.2696,-22.0522,-32.5565
610,1.073,-11.841,-4.3685,-9.3217,-22.1217,-34.2957
615,0.958,-11.841,-4.5601,-7.2348,-23.1652,-35.6174
620,0.5365,-11.4961,-4.5601,-5.0087,-24.6261,-37.1478
625,0.2682,-11.4578,-4.4835,-3.3391,-26.5043,-38.2609
630,-0.2682,-11.3428,-4.4068,-1.6696,-29.4261,-40.2783
635,0.958,-10.9213,-4.2536,-2.2957,-32.4174,-42.7826
640,0.6898,-10.8063,-4.062,-2.2957,-32.9739,-39.513
645,1.0346,-10.4998,-3.6404,-2.9217,-34.5739,-36.4522
650,1.1113,-10.2698,-3.947,-4.9391,-36.0348,-34.2261
655,1.4562,-9.81,-4.1386,-8.487,-37.5652,-32.0696
660,1.8011,-9.1969,-4.5601,-13.287,-39.513,-29.7739
665,1.916,-8.3538,-5.5564,-18.9913,-42.713,-27.4783
670,1.8777,-7.7407,-6.8977,-25.6,-46.887,-24.6957
675,2.1076,-7.3192,-7.894,-32.9043,-51.4087,-21.7043
680,1.9543,-6.9743,-9.1969,-40.4174,-55.4435,-18.4348
685,2.3375,-6.8593,-10.653,-47.4435,-58.3652,-14.8174
690,2.8357,-6.7827,-11.2662,-53.2174,-59.7565,-11.7565
695,3.0656,-6.8977,-11.4961,-56.9739,-58.713,-8.8348
700,3.5255,-6.8977,-11.4195,-61.0783,-55.5826,-6.4696
705,3.7171,-7.2425,-10.9979,-64.7652,-50.5043,-4.9391
710,3.9087,-7.779,-9.8866,-67.687,-44.3826,-4.313
715,3.9853,-8.4688,-9.1586,-69.4261,-38.6087,-4.4522
