timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0,0.2299,-12.7607,-1.5711,-6.3304,-12.2435,25.1826
5,0.5365,-12.3775,-1.1496,-2.9217,-17.7391,26.9913
10,0.6131,-11.726,-1.073,1.0435,-24.0696,28.0348
15,0.5748,-11.0363,-1.4179,4.313,-30.7478,28.4522
20,0.4982,-10.1549,-1.8394,5.4261,-37.2174,28.3826
25,0.6514,-9.7334,-2.4142,3.6174,-42.5739,27.7565
30,0.6131,-9.0819,-2.7207,0.1391,-46.0522,26.3652
35,0.958,-8.4305,-3.1423,-3.5478,-46.887,24.2087
40,0.7664,-7.9706,-3.1423,-7.2348,-45.7043,21.1478
45,0.6131,-7.6257,-2.989,-9.8087,-43.4783,18.2957
50,0.3449,-7.7407,-2.9507,-10.9217,-40.8348,16.1391
55,0.3066,-7.8557,-3.0273,-10.8522,-38.0522,15.1652
60,0.2682,-8.1622,-2.9507,-10.5739,-35.1304,15.0261
65,0.2299,-8.5454,-2.989,-10.2261,-31.8609,15.7913
70,0.4215,-8.5454,-3.1039,-10.2261,-28.4522,17.1826
75,0.4598,-8.737,-3.2572,-10.9913,-25.2522,18.9913
80,0.843,-8.7754,-3.6787,-13.2174,-22.6087,21.2174
85,1.073,-8.6221,-3.832,-16.4174,-21.4261,23.2348
90,1.4562,-8.5454,-3.7937,-20.3826,-21.3565,24.6957
95,1.6478,-8.3155,-4.0236,-24.2783,-22.8174,25.3217
100,2.031,-8.2005,-4.062,-27.2,-25.0435,25.2522
105,2.2226,-8.1239,-4.1386,-28.7304,-27.9652,24.6957
110,2.4142,-8.1239,-3.8704,-28.8696,-31.4435,23.4435
115,2.3759,-7.9323,-3.6404,-28.1739,-34.087,21.913
120,2.4908,-7.894,-3.6021,-26.3652,-36.5217,20.0348
125,2.3375,-7.9706,-3.3339,-23.8609,-38.4,17.8783
130,2.2226,-7.9706,-3.3339,-21.9826,-39.3739,15.0261
135,1.6861,-8.0089,-3.0273,-20.8,-38.9565,11.5478
140,1.3795,-8.3155,-3.0656,-20.3826,-37.8435,8.9043
145,1.1496,-8.3538,-2.874,-20.7304,-36.0348,7.0261
150,0.7281,-8.5838,-3.2189,-22.3304,-33.6696,5.5652
155,0.3449,-8.5838,-3.3339,-24.6261,-31.513,4.6609
160,0.2299,-8.7754,-3.4871,-27.8261,-29.7043,4.5217
165,-0.115,-8.737,-3.6021,-31.5826,-28.2435,4.7304
170,-0.1533,-8.7754,-3.832,-34.9217,-27.1304,5.1478
175,-0.1916,-8.967,-3.832,-37.6348,-26.087,5.7043
180,-0.1533,-8.852,-3.8704,-38.8174,-25.3217,6.6087
185,-0.0766,-9.0819,-3.6021,-39.513,-24.3478,7.9304
190,0.0,-9.1202,-3.6021,-39.4435,-23.5826,9.0435
195,0.3449,-9.2735,-3.6404,-38.5391,-22.1217,9.8783
200,0.7281,-9.6184,-3.4105,-37.0783,-19.7565,10.9913
205,1.3412,-10.2315,-3.6787,-34.3652,-16.3478,11.4087
210,2.031,-10.6147,-4.1003,-31.0261,-12.1043,11.1304
